Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_output_reads	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_percent_passing	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
A-2024-0142_K22_S87_2																	1.525930007009651	36.2828598845244	50.0	150.0	150	18.181818181818183	57347614.0	2.9062395901405167	54.6225869280836	50.0	141.09985001627396	145	18.181818181818183	56992850.0
A-2024-0142_K24_S88	4.0822803291336115e-05	92.70432206662356	0.003034942	4220576.0	95451025.0	100.0	100.0	0.2022010764158897	95451025.0	99671601	99671601	100.0	94.75	73967304.0	50080175	62.37														
A-2024-0142_K24_S88_1																		46.84249164766739	49.0	150.0	150	18.181818181818183	80167234.0	2.4495010534844077	62.838841508252216	49.0	141.7627811786477	145	18.181818181818183	79642694.0
A-2024-0142_K24_S88_2																	1.434315494149407	46.337437206770936	50.0	150.0	150	18.181818181818183	80167234.0	2.545299053570767	61.923965909594095	50.0	141.66236633080243	145	18.181818181818183	79642694.0
A-2024-0142_L11_S90	1.7845301862025196e-05	93.43199355576684	0.002975615	2444971.0	62621576.0	100.0	100.0	0.16889546184529117	62621576.0	65066547	65066547	100.0	95.42	39692502.0	32692769	76.4														
A-2024-0142_L11_S90_1																		32.80153200948173	49.0	150.0	150	18.181818181818183	43203881.0	2.304818722028779	51.23290515365299	49.0	142.27849586252083	145	18.181818181818183	42820155.0
A-2024-0142_L11_S90_2																	2.1404978566752035	33.26129861457173	50.0	150.0	150	18.181818181818183	43203881.0	2.4505161054141538	51.260018129056256	50.0	142.11258123656955	145	18.181818181818183	42820155.0
A-2024-0142_L13_S91	2.6534739479937682e-05	93.0444038301269	0.002916055	3563038.0	85232140.0	100.0	100.0	0.18881492357225807	85232140.0	88795178	88795178	100.0	95.13	50176946.0	44626739	82.1														
A-2024-0142_L13_S91_1																		30.853634993148333	49.0	150.0	150	18.181818181818183	54771193.0	2.6149905681887975	50.86570496343168	49.0	142.04368730887163	145	18.181818181818183	54202446.0
A-2024-0142_L13_S91_2																	2.045208439486292	31.32515791138279	50.0	150.0	150	18.181818181818183	54771193.0	2.7318383500838	51.20471920170903	50.0	141.91083313841594	145	18.181818181818183	54202446.0
