Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001484_2	53567254	2772637	5.17599240760036	50794617	94.82400759239964	0.04	21426.9016	0.51	273192.9954	0.07	37497.07780000001	0.41	219625.74139999997	2.2	1178479.5880000002	0.15	80350.88100000001	0.61	326760.2494	1.18	632093.5972
RSS0001485_1																					
RSS0001485_2	55615634	2606946	4.68743375289042	53008688	95.31256624710957	0.03	16684.690199999997	0.52	289201.2968	0.05	27807.817	0.33	183531.59219999998	2.23	1240228.6382	0.12	66738.76079999999	0.48	266955.04319999996	0.92	511663.8328
RSS0001486_1																					
RSS0001486_2	48675570	3632183	7.462024584406509	45043387	92.5379754155935	0.1	48675.57	0.55	267715.635	0.15	73013.355	0.66	321258.762	2.56	1246094.592	0.22	107086.254	1.4	681457.98	1.83	890762.931
RSS0001487_1																					
RSS0001487_2	47295428	2519456	5.327060366173238	44775972	94.67293963382676	0.05	23647.714	0.56	264854.39680000005	0.08	37836.3424	0.43	203370.3404	2.12	1002663.0736	0.16	75672.6848	0.72	340527.0816	1.22	577004.2215999999
RSS0001488_1																					
RSS0001488_2	39532826	2912693	7.367783421301579	36620133	92.63221657869842	0.05	19766.413	0.55	217430.54300000003	0.1	39532.826	0.49	193710.8474	3.85	1522013.801	0.16	63252.5216	0.87	343935.58619999996	1.3	513926.73800000007
RSS0001489_1																					
RSS0001489_2	74910960	4479824	5.980198358157471	70431136	94.01980164184252	0.07	52437.672000000006	0.49	367063.70399999997	0.11	82402.05600000001	0.52	389536.99199999997	2.18	1633058.928	0.18	134839.728	1.04	779073.9839999999	1.4	1048753.44
RSS0001490_1																					
RSS0001490_2	52806696	2812655	5.326322631508701	49994041	94.6736773684913	0.05	26403.348	0.52	274594.81919999997	0.08	42245.3568	0.43	227068.7928	2.24	1182869.9904000002	0.15	79210.044	0.71	374927.5416	1.15	607277.004
RSS0001491_1																					
RSS0001491_2	58645834	2742914	4.6770824335109635	55902920	95.32291756648904	0.04	23458.3336	0.5	293229.17	0.06	35187.5004	0.36	211125.0024	2.04	1196375.0136000002	0.13	76239.5842	0.56	328416.67040000006	0.99	580593.7566
RSS0001492_1																					
RSS0001492_2	55071808	2528190	4.590715452813897	52543618	95.4092845471861	0.03	16521.5424	0.53	291880.5824	0.05	27535.904000000002	0.33	181736.9664	2.15	1184043.872	0.13	71593.3504	0.49	269851.8592	0.89	490139.0912
RSS0001493_1																					
RSS0001493_2	70457704	4873334	6.916680112085401	65584370	93.0833198879146	0.05	35228.852	0.54	380471.6016	0.09	63411.9336	0.43	302968.1272	3.77	2656255.4408	0.15	105686.556	0.75	528432.78	1.16	817309.3663999999
RSS0001494_1																					
RSS0001494_2	63095522	4572365	7.246734562240407	58523157	92.7532654377596	0.08	50476.4176	0.5	315477.61	0.13	82024.1786	0.65	410120.89300000004	2.75	1735126.855	0.21	132500.5962	1.23	776074.9206	1.7	1072623.874
RSS0001495_1																					
